Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
78301-77905,G,Jonathan,Jonathan Byrd,Byrd,51.26250076293945,16,7400,,,,,,,,,G
78301-78449,G,David,David Lingmerth,Lingmerth,47.58182040127841,11,7400,,,,,,,,,G
78301-77832,G,Paul,Paul Barjon,Barjon,46.09090909090909,22,7300,,,,,,,,,G
78301-78120,G,Robert,Robert Garrigus,Garrigus,46.33999938964844,10,7300,,,,O,Undisclosed,,,,G
78301-78391,G,Rick,Rick Lamb,Lamb,62,2,7300,,,,,,,,,G
78301-78582,G,Grayson,Grayson Murray,Murray,32.19999864366319,9,7300,,,,,,,,,G
78301-77823,G,Aaron,Aaron Baddeley,Baddeley,48.539999389648436,10,7300,,,,,,,,,G
78301-78598,G,Seung-Yul,Seung-Yul Noh,Noh,52.66842169510691,19,7200,,,,,,,,,G
78301-78394,G,Andrew,Andrew Landry,Landry,36.6499989827474,12,7200,,,,,,,,,G
78301-79484,G,Cole,Cole Hammer,Hammer,24,1,7200,,,,,,,,,G
78301-79566,G,Chris,Chris Naegel,Naegel,46.8999989827474,3,7200,,,,,,,,,G
78301-78811,G,Roger,Roger Sloan,Sloan,36.47307645357572,26,7200,,,,,,,,,G
78301-82996,G,Joshua,Joshua Creel,Creel,33.672220865885414,18,7100,,,,,,,,,G
78301-78972,G,Richy,Richy Werenski,Werenski,35.8545448996804,22,7100,,,,,,,,,G
78301-78034,G,Jason,Jason Dufner,Dufner,35.6578947368421,19,7100,,,,,,,,,G
78301-77810,G,Kiradech,Kiradech Aphibarnrat,Aphibarnrat,43.686665852864586,15,7100,,,,,,,,,G
78301-77824,G,Sang-Moon,Sang-Moon Bae,Bae,38.77142769949777,7,7000,,,,O,Undisclosed,,,,G
78301-161547,G,Max,Max McGreevy,McGreevy,41.42608642578125,23,7000,,,,,,,,,G
78301-79626,G,Kevin,Kevin Stadler,Stadler,15.1,10,7000,,,,,,,,,G
78301-173582,G,Mardy,Mardy Fish,Fish,,,7000,,,,,,,,,G
78301-77836,G,Ricky,Ricky Barnes,Barnes,34.855556911892364,9,7000,,,,,,,,,G
78301-173583,G,Mo,Mo Lim,Lim,,,7000,,,,,,,,,G
78301-161549,G,Jared,Jared Wolfe,Wolfe,41.421052631578945,19,7000,,,,,,,,,G
78301-173584,G,Dylan,Dylan Menante,Menante,,,7000,,,,,,,,,G
78301-102674,G,Derek,Derek Lamely,Lamely,25.200000762939453,1,7000,,,,,,,,,G
78301-173585,G,Jeff,Jeff Sorenson,Sorenson,,,7000,,,,,,,,,G
78301-78110,G,Tommy,Tommy Gainey,Gainey,37.24545565518466,11,7000,,,,,,,,,G
78301-78631,G,Jeff,Jeff Overton,Overton,,,7000,,,,,,,,,G
78301-77867,G,Jonas,Jonas Blixt,Blixt,31.326316431949014,19,7000,,,,,,,,,G
78301-78122,G,Brian,Brian Gay,Gay,42.0933349609375,15,7000,,,,,,,,,G
78301-77872,G,Jason,Jason Bohn,Bohn,21.125,4,7000,,,,,,,,,G
78301-78909,G,D.J.,D.J. Trahan,Trahan,38.02222357855903,9,7000,,,,,,,,,G
78301-77887,G,Ryan,Ryan Brehm,Brehm,31.98333231608073,12,7000,,,,,,,,,G
78301-78910,G,Martin,Martin Trainer,Trainer,42.43333152488426,27,7000,,,,,,,,,G
78301-173894,G,Daniel,Daniel Gale,Gale,,,7000,,,,,,,,,G
78301-173893,G,Andre,Andre Metzger,Metzger,,,7000,,,,,,,,,G
78301-79689,G,Jim,Jim Knous,Knous,52.41999918619792,15,7000,,,,,,,,,G
78301-82763,G,Jonathan,Jonathan Kaye,Kaye,6.099999904632568,2,7000,,,,O,Undisclosed,,,,G
78301-78927,G,Dawie,Dawie Van der Walt,Van der Walt,36.76190476190476,21,7000,,,,,,,,,G
78301-78684,G,D.A.,D.A. Points,Points,37.73333401150174,9,7000,,,,O,Undisclosed,,,,G
78301-78690,G,Ted,Ted Potter Jr.,Potter Jr.,17.25,8,7000,,,,,,,,,G
78301-77929,G,Greg,Greg Chalmers,Chalmers,41.75555419921875,9,7000,,,,,,,,,G
78301-78959,G,Nick,Nick Watney,Watney,36.5239990234375,25,7000,,,,,,,,,G
78301-78195,G,David,David Hearn,Hearn,39.30909035422585,11,7000,,,,,,,,,G
78301-79477,G,Paul,Paul Goydos,Goydos,9.600000381469727,1,7000,,,,,,,,,G
78301-77948,G,K.J.,K.J. Choi,Choi,25.649999618530273,2,7000,,,,,,,,,G
78301-78207,G,J.J.,J.J. Henry,Henry,34.92857142857143,7,7000,,,,,,,,,G
78301-78209,G,Mark,Mark Hensby,Hensby,30.039999389648436,5,7000,,,,,,,,,G
